stock,model,n,mse,mae,r2,qlike,r2_offset22
SH600000,naive,417,0.1906667266087144,0.2823301938116474,-0.1243795065029422,-7.0917371618852485,-0.1114715753609632
SH600009,naive,417,0.1870043266613772,0.2745694496196707,-0.0652944196228386,-5.6488529753613586,-0.0528865682702393
SH600010,naive,417,0.2167553841183954,0.319005657461419,-0.0633593647824599,-6.388406058624677,-0.0501290225766637
SH600015,naive,417,0.1803971420652482,0.283918728180738,0.0853323476134206,-8.092974171428308,0.0961297812980106
SH600016,naive,417,0.180934558355584,0.2727019947761483,-0.0318494624294578,-7.999059472265546,-0.0209537082895843
SH600018,naive,414,0.2034414439874826,0.3259344483593658,0.3370835302431304,-6.8520144733449015,0.3658337372743643
SH600028,naive,417,0.1873104629308426,0.2816019799103017,-0.0930358471918564,-8.091396878472223,-0.1287964478486292
SH600029,naive,417,0.2265565356345876,0.3348271615096785,-0.1455962184712711,-6.467962866743569,-0.1421970741642615
SH600030,naive,410,0.2313287516045225,0.3212410099251953,0.0975915606954929,-6.143959573011748,0.1030056841972536
SH600031,naive,417,0.1996850756733752,0.2546920226662885,-0.1934463028468063,-4.473059040610871,-0.2160706638735576
SH600036,naive,417,0.1844365184893513,0.2628740210963452,-0.2357987829246635,-6.507377715776648,-0.2269960252485667
SH600038,naive,417,0.1869031924956078,0.269416113118903,0.1762338595700233,-6.048666626804271,0.1833635980267201
SH600048,naive,417,0.1859837710041083,0.2677663726167731,-0.234437161357728,-5.836504983950002,-0.2326249526776895
SH600066,naive,417,0.223286045661447,0.2901306709661521,0.0569571501921744,-1.4909750659899346,0.0596792992789353
SH600068,naive,417,0.229097475987428,0.3083427222900393,0.0592917263110741,-5.997151154713711,0.0672328143636675
SH600085,naive,417,0.2510410824494093,0.3311163127493725,-0.1028136612260282,-5.76046585271885,-0.0798009342565351
SH600089,naive,417,0.1659702778974981,0.2762703002367869,0.5854922980644701,-6.840368210457026,0.5981857439603431
SH600104,naive,417,0.1849153236367262,0.282021573544068,0.0154688685916435,-5.807336834977803,0.0344516383562407
SH600109,naive,412,0.214789826023093,0.3144197141917109,0.2688029667210494,-5.907614320320682,0.2794882348062103
SH600111,naive,414,0.2338047550348629,0.3130418783143677,0.0752226339865955,-4.809697897365226,0.0687893927569346
SH600115,naive,416,0.2421941879263064,0.3390446640065982,-0.0417418761360857,-5.916924901955297,-0.0445630558311398
SH600118,naive,417,0.2070611937012547,0.2763719586707397,0.3075564963676168,-4.10986510929226,0.3053909317311538
SH600170,naive,417,0.168025564714724,0.2814837263045755,0.2639460042040507,-7.49305605966231,0.2747124725510461
SH600177,naive,417,0.2412592252401109,0.3397997271970525,-0.067082942105632,-6.5495471508745915,-0.062029915407032
SH600188,naive,417,0.2169333118177848,0.3055179100654467,-0.2581581291426302,-6.1965254816102915,-0.2469971946555997
SH600196,naive,417,0.2268547044050989,0.306793339236134,0.1539943456607997,-4.6565346401420635,0.161204704203178
SH600208,naive,416,0.5149518843024978,0.3716401549263903,-0.360806694990393,131.85564590755334,-0.3946975184091561
SH600276,naive,417,0.1889916200832688,0.2673830724499026,-0.4030120886489132,-4.623403283829067,-0.4368383505061213
SH600332,naive,417,0.2322636962841941,0.2788670063872566,-0.1609044227396681,-2.5008657735778774,-0.1552577134340973
SH600340,naive,417,0.1587458851150912,0.2498961780765102,0.165627580399971,-6.594609050542903,0.1691200779105548
SH600352,naive,413,0.1962042745883437,0.2900656030866888,0.2512592588675031,-5.9610897396181874,0.2608741476388637
SH600362,naive,417,0.2326349628417118,0.3182188117936916,-0.0414592079924021,-6.1166618449757015,-0.0515504221128677
SH600369,naive,417,0.2483507209842128,0.336644462533904,0.1538550824015416,-5.45724040073452,0.1755696027623614
SH600372,naive,417,0.216218924107975,0.3075868453381082,0.0755837534855793,-5.853849632248144,0.0854562482537945
